News Org,Tweets Ago,Date,Tweet,Compound,Positive,Neutral,Negative
@BBC,0,Wed Nov 29 19:48:10 +0000 2017,"RT @BBCNewsAsia: In land-scarce Singapore, 'vertical villages' are the way to go: https://t.co/OT5rsMXXA4 https://t.co/dzkRBSkBB0",0.0,0.0,0.0,1.0
@BBC,1,Wed Nov 29 19:45:53 +0000 2017,"RT @BBCNewsbeat: ""America's loss is our gain,"" says the Duchess of Cornwall about Meghan Markle 💖 https://t.co/7zaa4HmTQ8",-0.3182,0.0,0.133,0.867
@BBC,2,Wed Nov 29 19:43:46 +0000 2017,RT @BBCScotlandNews: Three beavers have been released into the wild as part of a programme to reintroduce the animals to Scotland. More: ht…,0.0,0.0,0.0,1.0
@BBC,3,Wed Nov 29 19:41:46 +0000 2017,RT @BBCEngland: Archaeologists believe they've discovered the landing site for Julius Caesar’s invasion of Britain https://t.co/jm2I3ZOG1E…,0.0,0.0,0.0,1.0
@BBC,4,Wed Nov 29 19:38:12 +0000 2017,RT @bbcweather: Your fabulous photos of Wales: https://t.co/5LTQHRwsKF Jo https://t.co/lbxqbT4vGi,0.5267,0.274,0.0,0.726
@BBC,5,Wed Nov 29 19:36:04 +0000 2017,"RT @bbcmusic: We are SO EXCITED to welcome the amazing @Palomafaith as this week's #SLFN guest host! 
Which songs do you hope she sings?
Wa…",0.9439,0.418,0.0,0.582
@BBC,6,Wed Nov 29 19:35:48 +0000 2017,RT @BBCFood: Are you Christmassing yet? 🎄 #nevertoosoon #mincepie https://t.co/IVYo26i3cP https://t.co/nR2Xh7EKOe,0.0,0.0,0.0,1.0
@BBC,7,Wed Nov 29 19:35:44 +0000 2017,"RT @bbcthesocial: Teaching the police sign language (sort of) 😂 

#ScotSquad (via @BBCScotland) https://t.co/WQlW4xo2oI",0.0,0.0,0.0,1.0
@BBC,8,Wed Nov 29 19:28:04 +0000 2017,🎼🎻 What's the perfect musical accompaniment for a gloomy winter's night? https://t.co/0a74H9sFHP https://t.co/IWbQCRhpgo,0.4767,0.242,0.105,0.654
@BBC,9,Wed Nov 29 19:05:03 +0000 2017,"Tonight, Mary visits Scone Palace, the epicentre of Scottish history. Mary Berry's Country House Secrets. 8pm on… https://t.co/QYEEPXBZH8",0.0,0.0,0.0,1.0
@BBC,10,Wed Nov 29 18:33:04 +0000 2017,"📻 In the Victorian era, trousers were referred to as 'inexpressibles'. 🗯👖 This is how the words we use for swearing… https://t.co/o98Z5W7MrT",0.0,0.0,0.0,1.0
@BBC,11,Wed Nov 29 18:03:05 +0000 2017,When Will Ferrell sang an entire Whitney Houston song at a graduation ceremony. 😂 🎓 Via @BBCOne https://t.co/LkS5FYTXKx,0.0,0.0,0.0,1.0
@BBC,12,Wed Nov 29 17:29:04 +0000 2017,Girl celebrating her 21st birthday receives flowers from Dad who died of cancer five years ago. 💕 💐… https://t.co/uyJgLAsfV4,-0.6486,0.139,0.3,0.562
@BBC,13,Wed Nov 29 17:05:05 +0000 2017,"When @McInTweet is in disguise and you get a big surprise, that's amore! 🍕🎤🎶 #MichaelMcIntyresBigShow Via @BBCOne https://t.co/nznsdfjzDR",0.1007,0.123,0.103,0.774
@BBC,14,Wed Nov 29 16:33:12 +0000 2017,"📺🎄🎁 Call The Midwife, Mary Berry's Christmas Party, Doctor Who, 300 Years of French &amp; Saunders and more! Coming to… https://t.co/nz2i4YfhR7",0.4574,0.13,0.0,0.87
@BBC,15,Wed Nov 29 16:09:40 +0000 2017,RT @BBCWthrWatchers: Will we have a white Christmas? https://t.co/Dt5JDMiPFg #snow https://t.co/AcJFRoykSW,0.0,0.0,0.0,1.0
@BBC,16,Wed Nov 29 14:00:11 +0000 2017,‘Gateway to hell’ — the treacherous strait of water that nearly killed literary legend George Orwell.… https://t.co/2SC4gqQgEL,-0.6705,0.0,0.231,0.769
@BBC,17,Wed Nov 29 13:39:49 +0000 2017,RT @bbccomedy: What do Princes William and Harry call the Queen in private? 🤔😂👑 @HaveIgotnews @stephbreakfast https://t.co/zmuflJywW6,0.0,0.0,0.0,1.0
@BBC,18,Wed Nov 29 13:30:02 +0000 2017,"Can this sniffer dog find @AlanDavies1? 🐶

#QI via @BBCTwo.
Watch on @BBCiPlayer. 👉 https://t.co/8GlsOYI8Ej https://t.co/IjRHLZIdmk",0.0,0.0,0.0,1.0
@BBC,19,Wed Nov 29 13:03:03 +0000 2017,Why I want my best friend and me to get couples therapy. 👭 💬 https://t.co/2zCKRy25Wk https://t.co/PvZrlYo86Y,0.8271,0.465,0.0,0.535
@BBC,20,Wed Nov 29 12:28:04 +0000 2017,📻 Is this the end of 'manspreading'? People on social media are calling for women to claim their own space on publi… https://t.co/ceqejPdavF,0.0,0.0,0.0,1.0
@BBC,21,Wed Nov 29 12:03:01 +0000 2017,Big Shaq was NOT impressed with @scott_mills' impression of @djkhaled. 😂 Via @BBCR1 https://t.co/XXQ5VOqNCZ,0.6124,0.312,0.0,0.688
